"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-01","0","4","62","2735","32.1","39.2","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-02","0","19","72","3435","40.0","47.2","32.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-03","0","25","68","4152","41.9","49.2","34.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-04","0","28","74","4552","51.7","60.1","43.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-05","6","43","83","4734","59.3","67.9","50.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-06","224","49","93","4775","70.9","79.1","62.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-07","558","58","97","2","75.7","84.3","67.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-08","815","60","93","2","73.3","80.7","65.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-09","924","48","83","52","67.0","74.5","59.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-10","955","37","85","339","56.7","63.6","49.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-11","955","27","65","955","44.5","49.8","39.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997-12","955","17","54","1785","38.2","43.4","33.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-01","0","14","65","2560","40.0","45.8","34.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-02","0","17","58","3243","40.6","46.2","35.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-03","34","19","86","3885","45.4","52.2","38.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-04","34","36","73","4216","54.0","62.3","45.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-05","119","44","87","4322","64.3","72.4","56.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-06","274","52","92","4353","69.2","75.8","62.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-07","629","62","93","0","76.4","83.8","69.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-08","990","58","91","0","76.6","84.4","68.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-09","1168","49","90","21","70.2","78.1","62.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-10","1169","42","74","253","57.5","63.9","51.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-11","1169","36","63","760","48.1","54.2","42.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998-12","1170","17","75","1439","43.1","48.9","37.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-01","0","9","60","2403","33.9","40.8","27.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999-02","0","14","62","3136","38.8","45.2","32.4"
