"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1994-11","821","23","76","965","48.6","58.7","38.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1994-12","821","15","62","1787","38.5","47.7","29.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-01","0","13","64","2699","35.6","42.7","28.5"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-02","0","4","53","3700","29.2","38.5","20.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-03","0","19","71","4387","42.9","53.4","32.3"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-04","0","22","74","4870","48.9","60.7","37.1"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-05","16","32","87","5080","58.7","71.1","46.4"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-06","143","46","92","5092","68.8","80.3","57.4"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-07","474","49","102","1","75.6","86.6","64.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-08","740","47","96","2","73.6","86.5","60.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-09","815","40","89","99","64.3","75.4","53.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-10","826","34","85","335","57.7","69.6","45.9"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-11","826","16","71","1044","41.3","49.9","32.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1995-12","826","8","53","2120","30.3","38.2","22.4"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-01","0","4","59","3257","28.3","37.5","19.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-02","0","-2","61","4218","31.8","41.6","22.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-03","0","4","65","5101","36.5","47.3","25.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-04","1","26","81","5560","49.7","60.4","39.1"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-05","47","29","97","5806","58.5","71.0","46.1"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-06","184","44","88","5822","69.1","79.6","58.5"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-07","391","53","90","0","71.6","81.3","62.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-08","616","55","90","2","72.3","82.7","61.8"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-09","710","42","87","83","65.4","74.4","56.5"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-10","710","30","78","435","53.7","64.6","42.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-11","710","16","69","1170","40.5","49.4","31.5"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","1996-12","710","17","59","1964","39.4","46.4","32.4"
"USC00287865","SANDY HOOK, NJ US","1994-01","0","0","54","2980","25.5","33.5","17.5"
"USC00287865","SANDY HOOK, NJ US","1994-02","0","9","56","3982","29.2","35.4","23.0"
"USC00287865","SANDY HOOK, NJ US","1994-03","0","16","63","4787","39.0","45.4","32.6"
"USC00287865","SANDY HOOK, NJ US","1994-04","0","36","80","5155","52.7","60.9","44.5"
"USC00287865","SANDY HOOK, NJ US","1994-05","19","42","86","5345","59.5","68.7","50.3"
"USC00287865","SANDY HOOK, NJ US","1994-06","231","52","92","5347","72.0","80.0","64.0"
"USC00287865","SANDY HOOK, NJ US","1994-07",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1994-08",,"56","87",,"72.8","79.4","66.3"
"USC00287865","SANDY HOOK, NJ US","1994-09",,"53","83",,"66.4","72.8","59.9"
"USC00287865","SANDY HOOK, NJ US","1994-10",,"41","74",,"56.6","63.9","49.4"
"USC00287865","SANDY HOOK, NJ US","1994-11",,"28","74",,"50.3","57.1","43.4"
"USC00287865","SANDY HOOK, NJ US","1994-12",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1995-01",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1995-02",,"9","49",,"29.9","36.4","23.4"
"USC00287865","SANDY HOOK, NJ US","1995-03",,"22","66",,"42.9","49.2","36.6"
"USC00287865","SANDY HOOK, NJ US","1995-04",,"25","74",,"49.1","56.1","42.1"
"USC00287865","SANDY HOOK, NJ US","1995-05",,"43","84",,"60.1","68.0","52.3"
"USC00287865","SANDY HOOK, NJ US","1995-06",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1995-07",,"61","100","0","77.1","84.4","69.8"
"USC00287865","SANDY HOOK, NJ US","1995-08",,"61","94","0","77.4","86.2","68.6"
"USC00287865","SANDY HOOK, NJ US","1995-09",,"54","90","20","69.2","76.5","61.9"
"USC00287865","SANDY HOOK, NJ US","1995-10",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1995-11",,"28","69",,"44.7","51.3","38.2"
"USC00287865","SANDY HOOK, NJ US","1995-12",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1996-01",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1996-02",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1996-03",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1996-04",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1996-05",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1996-06",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1996-07",,,,,,,
"USC00287865","SANDY HOOK, NJ US","1996-08",,,,,,,
"USC00305380","MINEOLA 1 NE, NY US","1994-09",,"46","88",,"65.9","76.4","55.5"
"USC00305380","MINEOLA 1 NE, NY US","1994-10",,"34","76",,"55.5","67.7","43.2"
"USC00305380","MINEOLA 1 NE, NY US","1994-11",,"24","73",,"49.9","59.5","40.3"
"USC00305380","MINEOLA 1 NE, NY US","1994-12",,"18","65",,"40.5","50.2","30.9"
"USC00305380","MINEOLA 1 NE, NY US","1995-01","0","15","65",,"38.0","45.2","30.9"
"USC00305380","MINEOLA 1 NE, NY US","1995-02","0","6","58",,"31.4","40.8","22.0"
"USC00305380","MINEOLA 1 NE, NY US","1995-03","0","20","72",,"44.5","54.4","34.5"
"USC00305380","MINEOLA 1 NE, NY US","1995-04","0","23","76",,"51.0","62.0","39.9"
"USC00305380","MINEOLA 1 NE, NY US","1995-05","16","36","89",,"59.5","70.6","48.4"
"USC00305380","MINEOLA 1 NE, NY US","1995-06","186","48","96",,"70.4","81.3","59.4"
"USC00305380","MINEOLA 1 NE, NY US","1995-07","575","52","101","0","78.0","88.0","68.0"
"USC00305380","MINEOLA 1 NE, NY US","1995-08","910","53","97","0","75.8","87.9","63.7"
"USC00305380","MINEOLA 1 NE, NY US","1995-09","1009","44","90","58","66.4","77.3","55.4"
"USC00305380","MINEOLA 1 NE, NY US","1995-10","1036","36","88","242","59.8","71.5","48.0"
"USC00305380","MINEOLA 1 NE, NY US","1995-11","1036","24","74","919","42.4","51.4","33.5"
"USC00305380","MINEOLA 1 NE, NY US","1995-12","1036","11","53","1940","32.0","39.5","24.5"
"USC00305380","MINEOLA 1 NE, NY US","1996-01","0","5","55","2985","30.2","38.3","22.1"
"USC00305380","MINEOLA 1 NE, NY US","1996-02","0","2","64","3893","33.7","42.4","25.0"
