"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-01","0","7","50","2979","27.5","32.9","22.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-02","0","8","50","3957","30.1","35.6","24.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-03","0","11","69","4635","43.1","52.0","34.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-04","11","30","88","5103","49.8","57.8","41.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-05","20","45","79","5307","58.7","66.1","51.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-06","171","50","93","5357","68.4","75.6","61.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-07","504","63","94","0","75.7","83.0","68.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-08","866","61","91","0","76.7","83.3","70.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-09","973","50","80","19","67.9","73.8","62.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-10","976","36","77","328","55.1","61.8","48.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-11","982","29","79","783","50.0","56.2","43.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003-12","982","21","58","1633","37.6","43.5","31.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-01","0","1","58","2882","24.7","31.0","18.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-02","0","15","59","3751","35.0","41.7","28.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-03","0","24","70","4417","43.5","50.3","36.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-04","4","29","85","4764","53.6","62.7","44.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-05","90","42","87","4843","65.2","74.3","56.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-06","289","56","91","4856","71.2","78.8","63.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-07","584","63","87","0","74.5","80.9","68.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-08","871","58","90","0","74.2","80.7","67.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-09","1018","52","87","18","69.3","76.1","62.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-10","1019","44","75","299","56.0","61.8","50.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-11","1019","29","68","804","48.2","54.8","41.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004-12","1019","11","59","1630","38.4","44.3","32.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01","0","5","66","2674","31.3","37.4","25.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02","0","16","56","3472","36.5","42.6","30.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03","0","16","63","4264","39.5","46.4","32.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04","11","37","87","4571","55.1","64.6","45.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05","23","41","79","4771","58.9","67.3","50.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06","303","54","93","4781","74.0","82.2","65.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07","693","62","97","1","77.5","84.9","70.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08","1147","65","99","1","79.7","87.1","72.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09","1404","50","92","8","73.3","81.6","65.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-10","1437","39","80","261","57.9","63.8","52.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-11","1437","22","72","723","49.6","56.8","42.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-12","1437","14","55","1645","35.3","40.4","30.1"
"USC00285503","MIDLAND PARK, NJ US","2003-01",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-02",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-03",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-04",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-05",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-06",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-09",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-10",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-11",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2003-12",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-01",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-02",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-03",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-04",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-05",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-06",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-07",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-08",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-09",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-10",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2004-11",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-01",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-02",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-04",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-05",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-06",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-07",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-08",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-09",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-10",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-11",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2005-12",,,,,,,
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2003-01","0","2","49",,"25.7","32.7","18.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2003-02","0","4","53",,"27.9","35.9","19.8"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2003-03","0","2","73",,"40.7","52.7","28.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2003-04","7","28","88",,"48.6","58.9","38.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2003-05","9","35","82",,"57.6","67.7","47.4"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2003-06","122","45","94",,"67.0","76.8","57.1"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2003-11",,"22","81",,"47.4","56.4","38.3"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2003-12",,"15","58",,"36.0","44.4","27.5"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-01","0","-1","53",,"24.3","31.6","17.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-02","0","6","57",,"32.5","42.3","22.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-03","0","16","72",,"42.6","51.6","33.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-04","4","28","86",,"52.6","63.6","41.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-05","78","35","90",,"64.4","76.0","52.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-06","226","45","94",,"69.0","79.7","58.3"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-07","448","54","89","0","72.9","82.7","63.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-08","688","52","92","2","72.7","82.1","63.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-09","781","42","87","33","67.1","77.1","57.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-10","781","35","77","379","53.8","62.9","44.8"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-11","781","21","70","967","45.4","54.6","36.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2004-12","781","8","60","1865","36.0","44.7","27.4"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2005-01","0","-3","60","2997","28.5","36.0","21.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2005-02","0","8","56","3872","33.7","42.8","24.7"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2005-03","0","14","63","4761","36.3","45.6","27.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2005-04","2","29","87","5136","52.6","65.1","40.1"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2005-05","4","34","80","5402","56.5","68.0","45.0"
