"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-01","0","6","47","2893","27.9","33.4","22.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-02","0","12","65","3684","36.7","44.5","28.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-03","0","12","70","4384","42.4","49.7","35.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-04","41","34","92","4740","54.5","62.9","46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-05","87","43","86","4864","62.5","70.5","54.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-06","193","50","84","4896","67.5","74.5","60.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-07","430","58","86","0","72.6","80.4","64.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-08","762","62","92","0","75.7","82.4","68.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-09","841","49","84","40","66.3","73.0","59.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-10","843","37","74","353","55.0","61.1","48.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-11","843","35","69","769","51.1","56.6","45.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-12","843","16","66","1671","35.9","41.9","29.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-01","0","13","57","2678","32.5","38.1","27.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-02","0","17","46","3571","33.1","37.9","28.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03","0","29","74","4092","48.2","55.0","41.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-04","21","40","92","4327","57.9","67.3","48.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-05","132","41","92","4430","65.3","74.4","56.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-06","425","57","93","4433","74.7","83.2","66.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-07","931","61","103","0","81.3","90.1","72.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-08","1316","61","96","0","77.4","85.3","69.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-09","1503","54","96","5","71.1","78.7","63.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-10","1513","42","75","228","58.1","65.0","51.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-11","1513","34","65","741","47.9","53.6","42.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-12","1513","19","60","1741","32.8","37.7","27.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01","0","6","53","2835","29.7","34.8","24.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02","0","15","67","3647","36.0","43.7","28.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03","0","20","77","4350","42.3","49.9","34.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-04","11","35","83","4682","54.3","62.6","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-05","95","46","89","4782","64.5","72.4","56.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-06","317","56","95","4784","72.3","80.2","64.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-07","790","63","104","0","80.3","88.9","71.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-08","1108","59","94","0","75.3","82.9","67.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-09","1282","51","86","23","70.0","76.2","63.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-10","1298","33","84","285","57.1","63.8","50.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-11","1298","36","70","678","51.9","58.5","45.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-12","1298","22","62","1351","43.3","49.7","36.9"
