"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-01","0","16","64","2392","40.9","47.6","34.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-02","0","15","62","3212","35.7","42.4","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-03","0","22","74","3892","43.1","50.6","35.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-04","7","33","83","4178","55.7","65.3","46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-05","66","45","88","4297","63.1","71.5","54.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-06","268","52","91","4319","71.0","77.7","64.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-07","669","61","95","0","77.9","85.2","70.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-08","1003","60","97","0","75.8","82.8","68.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-09","1087","49","83","36","66.6","73.1","60.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-10","1100","37","79","321","56.2","63.3","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-11","1100","35","69","713","51.9","57.4","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-12","1100","18","70","1376","43.6","49.5","37.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01","0","9","72","2229","37.5","43.6","31.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02","0","8","49","3258","28.3","34.5","22.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-03","0","11","78","3964","42.2","50.9","33.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-04","11","30","86","4416","50.3","57.9","42.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-05","113","44","91","4511","65.2","75.3","55.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-06","315","54","91","4521","71.4","79.6","63.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-07","624","57","92","0","75.0","82.3","67.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-08","918","56","92","14","74.0","81.4","66.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-09","1095","50","88","33","70.3","78.0","62.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-10","1179","38","87","161","63.6","70.6","56.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-11","1179","26","66","748","45.4","51.6","39.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-12","1179","20","61","1618","36.9","41.6","32.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-01","0","12","64","2501","36.5","42.4","30.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-02","0","10","68","3349","35.8","43.1","28.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-03","0","27","63","4042","42.6","50.3","35.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-04","9","33","84","4353","54.9","63.5","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-05","34","44","83","4530","60.1","68.9","51.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-06","304","57","96","4531","74.0","82.6","65.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-07","720","66","96","0","78.4","86.2","70.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-08","993","58","90","0","73.8","82.6","65.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-09","1134","51","90","27","68.8","75.8","61.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-10","1137","36","75","335","55.1","62.3","47.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-11","1137","23","67","909","45.8","51.2","40.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-12","1137","13","67","1743","38.1","44.9","31.3"
"USC00287865","SANDY HOOK, NJ US","2006-01",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2006-10",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2006-11",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2007-01",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2007-02",,"8","49",,"26.4","34.0","18.8"
"USC00287865","SANDY HOOK, NJ US","2007-03",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2007-04",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2007-07",,"59","94","0","75.0","82.5","67.6"
"USC00287865","SANDY HOOK, NJ US","2007-08",,"57","92","9","74.9","82.8","67.1"
"USC00287865","SANDY HOOK, NJ US","2007-10",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2007-11",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2008-03",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2008-04",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2008-05",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2008-07",,"63","97","0","77.5","85.8","69.2"
"USC00287865","SANDY HOOK, NJ US","2008-08",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2008-09",,"57",,,,,"62.6"
"USC00287865","SANDY HOOK, NJ US","2008-11",,,,,,,
"USC00287865","SANDY HOOK, NJ US","2008-12",,,,,,,
"US1NJMN0010","EATONTOWN 1.2 NE, NJ US","2008-05",,,,,,,
"US1NJMN0010","EATONTOWN 1.2 NE, NJ US","2008-06",,,,,,,
"US1NJMN0010","EATONTOWN 1.2 NE, NJ US","2008-07",,,,,,,
"US1NJMN0010","EATONTOWN 1.2 NE, NJ US","2008-08",,,,,,,
"US1NJMN0010","EATONTOWN 1.2 NE, NJ US","2008-10",,,,,,,
"US1NJMN0010","EATONTOWN 1.2 NE, NJ US","2008-11",,,,,,,
"US1NJMN0010","EATONTOWN 1.2 NE, NJ US","2008-12",,,,,,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-01","0","15","63","2501","39.6","47.5","31.8"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-02","0","14","63","3337","35.2","43.1","27.2"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-03","0","23","76","4013","43.2","51.8","34.5"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-04","9","33","83","4302","55.7","65.9","45.5"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-05","73","45","94","4403","63.8","73.5","54.1"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-06","313","52","95","4416","72.6","80.9","64.3"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-07","759","62","98","0","79.4","88.4","70.4"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-08","1139","59","101","0","77.3","85.5","69.0"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-09","1229","46","85","41","66.6","74.5","58.8"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-10","1243","33","82","341","55.8","64.9","46.6"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-11","1243","32","70","751","51.3","58.1","44.5"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2006-12","1243","18","72","1434","43.0","50.7","35.3"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-01","0","9","72","2300","37.1","44.2","29.9"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-02","0","8","51","3339","27.9","35.1","20.7"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-03","0","12","80","4052","42.0","51.9","32.1"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-04","7","30","86","4507","50.1","58.4","41.7"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-05","113","42","94","4608","65.2","75.7","54.6"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-06","350","54","96","4614","72.7","82.1","63.4"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-07","688","56","97","0","75.9","84.3","67.5"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-08","1014","57","95","9","75.3","83.4","67.1"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-09","1188","47","92","31","70.1","79.3","60.8"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-10","1274","38","89","162","63.5","72.3","54.8"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-11","1274","25","69","766","44.9","52.5","37.2"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2007-12","1274","20","62","1650","36.5","42.3","30.7"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-01","0","14","66","2559","35.7","43.2","28.2"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-02","0","10","69","3408","35.7","44.0","27.4"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-03","0","26","65","4093","42.9","51.8","34.1"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-04","6","33","82","4409","54.7","63.2","46.1"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-05","37","37","87","4580","60.5","70.3","50.6"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-06","345","56","99","4580","75.3","85.2","65.3"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-07","770","65","98","0","78.7","87.7","69.7"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-08","1052","56","91","0","74.1","83.4","64.8"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-09","1210","51","92","23","69.5","77.4","61.6"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-10","1220","33","79","333","55.3","64.5","46.2"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-11","1220","23","70","922","45.4","52.1","38.6"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2008-12","1220","12","67","1777","37.4","45.0","29.8"
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2008-10",,,,,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2008-11",,,,,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2008-12",,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-01","0","17","64","2239","41.5","48.5","34.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-02","0","17","63","3030","36.8","43.1","30.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-03","0","24","74","3682","44.0","50.9","37.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-04","6","35","82","3953","56.2","64.9","47.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-05","71","48","89","4053","63.9","71.8","56.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06","336","55","93","4065","73.4","80.1","66.7"
